Raw RH Runs
Rows,Hits,Seed,Flips,Flip %,TRR Commands,Total Energy,Refresh Energy,TRR Energy,Write Energy,Read Energy,Activation Energy,Average Read Latency
20,200000,7,2,28,1.4,0,677355043228.7999,180136535040.0,0.0,0.0,35561840486.399994,32837602560.0,109.98747174686794
20,200000,7,4,22,1.1,0,849053773267.2,360274134528.0,0.0,0.0,35493492172.799995,29910511680.0,143.56422436869633
20,200000,7,8,16,0.8,0,1192515423024.0,720548269056.0,0.0,0.0,35346015897.6,24207946560.0,216.28221060582896
20,200000,8,16,12,0.6,0,1878384732076.7998,1441097602560.0,0.0,0.0,34988781926.399994,10901634240.0,392.08131694615236
20,200000,8,2,30,1.5,0,677353843785.6,180136535040.0,0.0,0.0,35560891699.2,32837132160.0,109.9773896193474
20,200000,8,4,27,1.35,0,849052869600.0,360274134528.0,0.0,0.0,35492766105.6,29910175680.0,143.56198186673413
20,200000,8,8,20,1.0,0,1192513243881.5999,720548269056.0,0.0,0.0,35343583795.2,24208416960.0,216.28148285555608
20,200000,9,16,18,0.9,0,1878399351072.0,1441097602560.0,0.0,0.0,35004118425.6,10900276800.0,392.05936955194835
20,200000,9,2,33,1.65,0,677356367644.7999,180136535040.0,0.0,0.0,35563421798.399994,32837118720.0,109.98134812033703
20,200000,9,4,31,1.55,0,849055616851.2,360274134528.0,0.0,0.0,35495719372.799995,29909785920.0,143.56541786974063
20,200000,9,8,33,1.65,0,1192520369289.5999,720548269056.0,0.0,0.0,35351134003.2,24207630720.0,216.2878063579274
20,50000,10,16,1,0.05,0,469599123801.6,360274134528.0,0.0,0.0,8750503987.199999,2725289280.0,391.9926189889285
20,50000,10,2,3,0.15,0,169338348115.2,45033601536.0,0.0,0.0,8890701772.8,8209360320.0,109.98265748265749
20,50000,10,4,2,0.1,0,212263196092.8,90068267520.0,0.0,0.0,8873614694.4,7477364160.0,143.5651240430582
20,50000,10,8,1,0.05,0,298129490400.0,180136535040.0,0.0,0.0,8837658777.599998,6052126080.0,216.2880912880913
20,50000,1,16,0,0.0,0,469594147468.80005,360274134528.0,0.0,0.0,8745194342.4,2725920960.0,392.426702640054
20,50000,1,2,1,0.05,0,169337441318.4,45033601536.0,0.0,0.0,8889801984.0,8209353600.0,109.96077396077396
20,50000,1,4,0,0.0,0,212261928432.0,90068267520.0,0.0,0.0,8872091289.599998,7477848000.0,143.55978951905283
20,50000,1,8,1,0.05,0,298126826390.4,180136535040.0,0.0,0.0,8834990592.0,6052126080.0,216.2797612797613
20,50000,2,16,0,0.0,0,469600735718.4,360274134528.0,0.0,0.0,8752294656.0,2724953280.0,392.1387637081456
20,50000,2,2,1,0.05,0,169338751632.0,45033601536.0,0.0,0.0,8891133849.599998,8209306560.0,109.97635097635097
20,50000,2,4,1,0.05,0,212263703856.0,90068267520.0,0.0,0.0,8874385305.599998,7476866880.0,143.56645504904773
20,50000,2,8,1,0.05,0,298130554828.8,180136535040.0,0.0,0.0,8838669926.4,6052226880.0,216.2951607951608
20,50000,3,16,4,0.2,0,469594498003.19995,360274134528.0,0.0,0.0,8745510604.8,2725981440.0,391.91829037743554
20,50000,3,2,6,0.3,0,169337537510.4,45033601536.0,0.0,0.0,8889757440.0,8209629120.0,109.95678945678945
20,50000,3,4,5,0.25,0,212262393110.4,90068267520.0,0.0,0.0,8872719360.0,7477538880.0,143.56434203953918
20,50000,3,8,5,0.25,0,298127122492.8,180136535040.0,0.0,0.0,8835329126.4,6052038720.0,216.2860147860148
20,50000,4,16,1,0.05,0,469604203200.0,360274134528.0,0.0,0.0,8756410521.599998,2723716800.0,391.99349149023726
